STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
722146,12816, 19431203,   62.1,24,   55.4,24, 1023.6,24, 9999.9, 0,   5.6,24,   2.8,24,   5.1, 999.9,   76.3*,  52.3*, 0.00I,999.9, 000000,
722146,12816, 19431204,   67.4,24,   61.0,24, 1023.6,24, 9999.9, 0,   5.2,24,   3.1,24,   6.0, 999.9,   77.4*,  58.3*, 0.00I,999.9, 000000,
722146,12816, 19431205,   62.2,24,   55.5,24, 1022.4,24, 9999.9, 0,   3.8,24,   2.8,24,   8.0, 999.9,   76.3*,  51.3*, 0.00I,999.9, 000000,
722146,12816, 19431206,   61.7,24,   55.1,24, 1021.6,24, 9999.9, 0,   4.1,24,   4.8,24,  11.1, 999.9,   78.3*,  49.3*, 0.00I,999.9, 000000,
722146,12816, 19431207,   66.2,24,   59.0,24, 1019.9,24, 9999.9, 0,  20.8,24,   5.9,24,  11.1, 999.9,   80.2*,  54.3*, 0.00I,999.9, 000000,
722146,12816, 19431208,   67.0,24,   62.7,24, 1021.1,24, 9999.9, 0,  22.3,24,   2.7,24,   8.0, 999.9,   80.2*,  59.4*, 0.00I,999.9, 100000,
722146,12816, 19431209,   64.3,24,   58.0,24, 1024.9,24, 9999.9, 0,   3.6,24,   2.6,24,   8.9, 999.9,   82.4*,  52.3*, 0.00I,999.9, 100000,
722146,12816, 19431210,   65.1,24,   57.8,24, 1022.9,24, 9999.9, 0,  19.6,24,   4.6,24,  12.0, 999.9,   81.3*,  52.3*, 0.00I,999.9, 000000,
722146,12816, 19431211,   65.7,24,   61.5,24, 1016.8,24, 9999.9, 0,   3.8,24,   7.5,24,  12.0, 999.9,   70.3*,  60.3*,99.99 ,999.9, 110000,
722146,12816, 19431212,   53.4,24,   41.7,24, 1016.1,24, 9999.9, 0,  12.6,24,   6.2,24,  14.0, 999.9,   69.3*,  38.3*, 0.00I,999.9, 000000,
722146,12816, 19431213,   50.0,24,   39.0,24, 1016.8,24, 9999.9, 0,   4.4,24,   6.7,24,   9.9, 999.9,   65.3*,  36.3*, 0.00I,999.9, 000000,
722146,12816, 19431214,   49.9,24,   39.2,24, 1017.3,24, 9999.9, 0,   3.2,24,   5.2,24,   9.9, 999.9,   66.4*,  36.3*, 0.00I,999.9, 000000,
722146,12816, 19431215,   50.0,24,   47.7,24, 1017.1,24, 9999.9, 0,   2.8,24,   6.3,24,   9.9, 999.9,   61.3*,  41.4*,99.99 ,999.9, 110000,
722146,12816, 19431216,   37.3,24,   29.4,24, 1025.3,24, 9999.9, 0,   5.0,24,   8.2,24,  12.0, 999.9,   40.3*,  32.4*,99.99 ,999.9, 110000,
722146,12816, 19431217,   34.3,24,   21.5,24, 1029.6,24, 9999.9, 0,   5.5,24,  10.5,24,  15.9, 999.9,   47.3*,  26.4*, 0.00I,999.9, 000000,
722146,12816, 19431218,   39.6,24,   20.6,24, 1027.2,24, 9999.9, 0,   5.3,24,   8.1,24,  11.1, 999.9,   57.4*,  28.4*, 0.00I,999.9, 000000,
722146,12816, 19431219,   39.9,24,   22.5,24, 1024.1,24, 9999.9, 0,   4.4,24,   7.0,24,  11.1, 999.9,   59.4*,  26.4*, 0.00I,999.9, 000000,
722146,12816, 19431220,   46.3,24,   31.1,24, 1024.5,24, 9999.9, 0,   6.0,24,   7.1,24,   9.9, 999.9,   63.3*,  32.4*, 0.00I,999.9, 000000,
